Country Name,Country Code,Region,Income group,Year,Energy use (kg of oil equivalents per capita),Population,CO2 emissions (metric tons per capita),Renewable energy consumption (% of energy),"GDP per capita, PPP",Electric power consumption (kWh per capita),Access to electricity (% of population),Forest area (% of land)
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,1996,2466.510033446,42898520,8.494483982,17.437770602,6861.530512182,4633.819535033,57.6,7.617736524
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,1996,615.093678042,9394304,0.199074886,89.640857039,1556.583482881,681.583223196,17.3,69.681322640
Zimbabwe,ZWE,Sub-Saharan Africa,Low income,1996,850.801449038,11518262,1.301790409,66.738327517,2221.150182999,869.054723707,32.459949493,52.221791392
Aruba,ABW,Latin America & Caribbean,High income,1997,,85451,20.426817708,0.160095867,30072.009563305,,90.683677673,2.333333260
Afghanistan,AFG,South Asia,Low income,1997,,18381605,0.059648382,41.432600873,,,0.010000000,2.067824648
Angola,AGO,Sub-Saharan Africa,Lower middle income,1997,442.781324995,15088981,0.489209377,73.734415951,2896.923071426,68.328007040,19.558675766,48.209191014
Albania,ALB,Europe & Central Asia,Upper middle income,1997,384.594958328,3148281,0.490365060,55.953349416,2717.364858927,694.664802792,100,28.290146876
Andorra,AND,Europe & Central Asia,High income,1997,,64327,7.239712718,14.194002455,,,100,34.042553191
United Arab Emirates,ARE,Middle East & North Africa,High income,1997,11435.911348476,2700010,15.424431391,0.076355659,79158.208181542,9820.333998763,100,4.090397071
Argentina,ARG,Latin America & Caribbean,High income,1997,1613.918988432,35833969,3.851202695,10.999073396,11688.746401487,1838.897611370,93.910675049,11.963320797
Armenia,ARM,Europe & Central Asia,Upper middle income,1997,594.250205708,3133086,1.032302975,10.120114390,1843.378544771,1509.055289258,98.769027710,11.717597685
American Samoa,ASM,East Asia & Pacific,Upper middle income,1997,,54941,,0,,,,90.749998093
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,1997,,77739,3.962335507,0,13247.574796417,,88.736404419,22.931818529
Australia,AUS,East Asia & Pacific,High income,1997,5469.599989199,18517000,16.514273208,9.080242836,22924.126403176,9291.083868877,100,16.759434024
Austria,AUT,Europe & Central Asia,High income,1997,3550.404170862,7968041,7.863667996,24.871050902,25412.367595247,6620.447861651,100,46.250907028
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,1997,1444.319459063,7838250,3.803022741,1.989848785,2634.158630886,1813.670143208,97.814590454,10.404123766
Burundi,BDI,Sub-Saharan Africa,Low income,1997,,6112097,0.040797127,95.242785216,550.386912619,,2.617931843,8.773364605
Belgium,BEL,Europe & Central Asia,High income,1997,5523.459164375,10181245,11.328852022,1.148478311,23916.495943537,7701.612130933,100,
Benin,BEN,Sub-Saharan Africa,Low income,1997,355.238338274,6281639,0.193809928,80.626431854,1186.416881124,47.917430467,16.809823990,46.745299752
Burkina Faso,BFA,Sub-Saharan Africa,Low income,1997,,10665546,0.075639822,91.390954846,753.127341341,,7.387559414,23.493056269
Bangladesh,BGD,South Asia,Lower middle income,1997,134.903762992,123854640,0.202365814,59.972856122,1136.354591866,81.248469981,22.4,11.337482130
Bulgaria,BGR,Europe & Central Asia,Upper middle income,1997,2504.122680421,8312068,6.209849583,3.809662787,5688.676397395,3970.131139447,100,30.376932999
Bahrain,BHR,Middle East & North Africa,High income,1997,12181.221320155,594930,29.111392937,0,32941.355869149,21105.003950045,,0.450704215
"Bahamas, The",BHS,Latin America & Caribbean,High income,1997,,286970,4.753542182,0,22130.268450463,,94.316184998,51.448551449
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,1997,718.040385020,3752431,2.236886701,27.598257428,3240.458416651,1378.572983754,98.347869873,42.822265625
Belarus,BLR,Europe & Central Asia,Upper middle income,1997,2505.604625877,10117000,5.886700306,3.393372875,4757.614795935,2953.049322922,100,40.056695413
Belize,BLZ,Latin America & Caribbean,Upper middle income,1997,,221606,1.754022906,36.657679994,4594.641811376,,89.428970337,66.037700407
Bermuda,BMU,North America,High income,1997,,60497,8.667884358,0,33613.372469957,,100,18.518518191
Bolivia,BOL,Latin America & Caribbean,Lower middle income,1997,560.814168219,7870855,1.390233717,32.761159860,3264.947036702,391.571182546,67.330431,56.219144483
Brazil,BRA,Latin America & Caribbean,Upper middle income,1997,1064.048037817,167545164,1.793828678,43.725108373,8559.118824645,1758.874998027,93.354139,63.280025520
Barbados,BRB,Latin America & Caribbean,High income,1997,,266945,3.379280376,16.402333933,10873.808928584,,,14.651163234
Brunei Darussalam,BRN,East Asia & Pacific,High income,1997,7486.600990905,312038,16.217447875,0,62779.107803838,7620.866689313,100,76.242881934
Bhutan,BTN,South Asia,Lower middle income,1997,,528754,0.742063417,91.350064237,2369.510711875,,21.633600235,64.729144993
Botswana,BWA,Sub-Saharan Africa,Upper middle income,1997,904.686941840,1637635,1.710752396,43.998995941,7229.301358617,967.859138331,21.075979233,22.744341028
Central African Republic,CAF,Sub-Saharan Africa,Low income,1997,,3517309,0.069851412,91.858040712,619.678367899,,3.992851973,36.037755275
Canada,CAN,North America,High income,1997,8034.414783641,29987200,16.516859060,21.311150383,25087.997257676,16608.552982606,100,38.262817383
Switzerland,CHE,Europe & Central Asia,High income,1997,3525.891301140,7088906,5.849483122,17.823117499,31797.874629835,7341.612372911,100,29.880840696
Channel Islands,CHI,Europe & Central Asia,High income,1997,,145715,,,,,100,4.040404256
Chile,CHL,Latin America & Caribbean,High income,1997,1548.096388969,14694835,3.837728903,29.953558104,8655.296673689,2082.228211477,96.240966797,21.065266239
China,CHN,East Asia & Pacific,Upper middle income,1997,871.756323801,1230075000,2.820567891,30.183481677,2277.206851423,852.740686544,95.184532166,18.218826259
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,1997,382.435022277,15445986,0.490010026,72.135143738,2302.720142168,168.522747593,44.456600189,32.377988036
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,1997,411.977884459,14165423,0.227028801,84.576947821,1878.477688110,177.615592559,38.511959076,48.181760487
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,1997,308.127287552,43830146,0.043337889,97.058558767,530.266385650,95.390966756,4.732116222,69.774907093
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,1997,244.914210102,2962470,0.790965984,80.152957103,3388.369355238,124.895779535,13.296339989,66.199121523
Colombia,COL,Latin America & Caribbean,Upper middle income,1997,709.821665501,38645411,1.679619011,25.800347721,6570.030955025,895.863159535,93.012077332,56.407401279
Comoros,COM,Sub-Saharan Africa,Low income,1997,,501953,0.160720227,59.781079794,1703.036492296,,32.458610535,24.825362304
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,1997,,408175,0.359355669,36.579759682,2158.376947518,,49.046463013,18.558312882
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,1997,651.053499786,3682725,1.354192887,33.563913525,6887.385240701,1373.167966655,98.467559814,47.638070943
Cuba,CUB,Latin America & Caribbean,Upper middle income,1997,1106.348629737,11013983,2.238025426,36.818118559,,1037.953299910,95.756935120,21.619179724
Curacao,CUW,Latin America & Caribbean,High income,1997,16175.195296551,146956,,0.081762955,,6280.791529437,100,
Cayman Islands,CYM,Latin America & Caribbean,High income,1997,,35597,11.434587184,0,,,100,52.916665872
Cyprus,CYP,Europe & Central Asia,High income,1997,2071.928383558,891192,6.575312615,3.294070781,17857.164861839,2866.946740994,100,18.231602458
Czech Republic,CZE,Europe & Central Asia,High income,1997,4184.884683628,10304131,12.365291357,5.648484534,14723.834147269,5660.060028352,100,34.096028182
Germany,DEU,Europe & Central Asia,High income,1997,4203.357366598,82034771,10.511112599,2.824421822,24633.189147565,6427.798768403,100,32.481878827
Djibouti,DJI,Middle East & North Africa,Lower middle income,1997,,660953,0.493776411,31.559595181,,,57.822086334,0.241587571
Dominica,DMA,Latin America & Caribbean,Upper middle income,1997,,70753,1.140220203,15.517312381,5740.188832741,,76.536155701,64.173334757
Denmark,DNK,Europe & Central Asia,High income,1997,3848.155843596,5284991,11.647688520,8.102729547,24914.315636221,6607.201412453,100,13.500117784
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,1997,748.654249074,8163472,2.205103784,18.251133605,5489.194278879,636.983871568,85.894592285,28.393706296
Algeria,DZA,Middle East & North Africa,Upper middle income,1997,804.866349365,29886839,2.922376836,0.472147669,7144.432580681,572.927769310,98.906005859,0.674045036
Ecuador,ECU,Latin America & Caribbean,Upper middle income,1997,721.687467657,11924993,1.539679646,16.542792749,5940.551254711,656.184871555,92.222076416,50.568920676
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,1997,587.008727305,66151117,1.635681662,8.344740400,4950.822579935,826.123616325,96.381637573,0.054749108
Eritrea,ERI,Sub-Saharan Africa,Low income,1997,329.186265361,3161350,0.273747608,77.601167157,1380.270048607,58.519303462,25.925544739,15.737623762
Spain,ESP,Europe & Central Asia,High income,1997,2634.649128030,40057389,6.292802734,9.154295862,17860.608536773,4324.420645589,100,32.089360005
Estonia,EST,Europe & Central Asia,High income,1997,4010.915768452,1399535,12.938330231,19.739901967,7838.447264190,4811.598137953,100,52.651566462
Ethiopia,ETH,Sub-Saharan Africa,Low income,1997,475.710934303,60976450,0.050034792,96.220856368,473.037368748,23.828871638,4.427456856,14.127700195
Finland,FIN,Europe & Central Asia,High income,1997,6276.951692029,5139835,11.660578209,28.828445537,21768.613256035,14454.938728578,100,73.127811156
Fiji,FJI,East Asia & Pacific,Upper middle income,1997,,792860,0.999006130,54.962022090,4759.294203191,,71.062278748,53.211822259
France,FRA,Europe & Central Asia,High income,1997,4049.232507890,59964851,5.862811599,9.985453187,22231.183905118,6833.136298463,100,27.454405826
Faroe Islands,FRO,Europe & Central Asia,High income,1997,,46251,12.764848328,3.259648044,,,100,0.057306586
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income,1997,,108502,1.013898361,1.492561700,2136.702289683,,41.118144989,91.100000654
Gabon,GAB,Sub-Saharan Africa,Upper middle income,1997,1237.655866462,1142324,4.198840259,69.973196134,15651.812314606,856.149393692,72.143699646,85.380525478
United Kingdom,GBR,Europe & Central Asia,High income,1997,3760.712365053,58316954,9.042720853,1.028479689,22931.912539621,5831.957547028,100,11.991898281
Georgia,GEO,Europe & Central Asia,Lower middle income,1997,725.522332068,4531600,0.979139818,44.363796047,2218.569930097,1278.135757790,98.492767334,39.690748416
Ghana,GHA,Sub-Saharan Africa,Lower middle income,1997,397.322204360,17608812,0.361518540,78.339044790,1618.589628974,393.382585946,38.482723236,38.781754376
Gibraltar,GIB,Europe & Central Asia,High income,1997,3624.468850101,30594,9.588808263,0,,3530.103941949,100,0
Guinea,GIN,Sub-Saharan Africa,Low income,1997,,8337988,0.170200413,85.307734585,1027.567257907,,13.634946823,28.536545662
"Gambia, The",GMB,Sub-Saharan Africa,Low income,1997,,1128169,0.175521575,58.191814911,1099.707346372,,25.039896011,44.990117371
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,1997,,1179727,0.170959044,88.363438743,1416.695542020,,3.705326319,76.415364468
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,1997,,544636,0.531902041,66.029129928,4999.494651711,,61.414821625,63.390373461
Greece,GRC,Europe & Central Asia,High income,1997,2282.137034660,10661259,7.852506913,7.834038300,17146.229847126,3989.116107206,100,27.233513595
Grenada,GRD,Latin America & Caribbean,Upper middle income,1997,,101122,1.668103875,8.325807873,5845.005318159,,84.784210205,49.970587562
Greenland,GRL,Europe & Central Asia,High income,1997,,56000,9.298464286,12.510439988,,,100,0.000535997
Guatemala,GTM,Latin America & Caribbean,Upper middle income,1997,525.559915038,10887634,0.697858139,65.304002690,4342.307293394,240.548130108,69.014320374,40.780141844
Guam,GUM,East Asia & Pacific,High income,1997,,150303,,0,,,100,46.296296296
Guyana,GUY,Latin America & Caribbean,Upper middle income,1997,,760510,2.092645725,36.933879302,3428.087241108,,72.847106934,84.497842980
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,1997,1546.681614350,6489300,4.731448847,0.842976092,25399.077824251,4968.486585610,100,
Honduras,HND,Latin America & Caribbean,Lower middle income,1997,513.730240532,6028882,0.689742808,65.381475063,2465.379504006,415.168185411,64.794754,61.803558811
Croatia,HRV,Europe & Central Asia,High income,1997,1866.664479440,4572000,4.135400700,29.211150683,9374.163518496,2588.801399825,100,33.485173276
Haiti,HTI,Latin America & Caribbean,Low income,1997,252.463186723,8111951,0.168614307,80.588196825,1307.562266287,41.666918353,31.199256897,4.031204589
Hungary,HUN,Europe & Central Asia,High income,1997,2527.301625987,10290486,5.916811704,5.230531730,9817.886004909,3188.381967577,100,20.959910369
Indonesia,IDN,East Asia & Pacific,Lower middle income,1997,691.002222023,202826465,1.373878882,47.087374936,4977.128220584,331.297989146,80.3,58.043463336
Isle of Man,IMN,Europe & Central Asia,High income,1997,,70869,,,,,100,6.070175506
India,IND,South Asia,Lower middle income,1997,398.770519690,997405318,0.920072380,52.488073103,1657.408855050,376.800677937,54.713474274,21.846804011
Ireland,IRL,Europe & Central Asia,High income,1997,3255.498451215,3674171,9.911617342,1.900738900,22615.144829789,4976.632824112,100,8.476846722
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,1997,1742.250718647,62710557,4.294228785,0.898423541,9588.487591757,1337.988434706,97.237648010,5.679646033
Iraq,IRQ,Middle East & North Africa,Upper middle income,1997,1860.043550482,21509291,3.175784641,0.362383357,6264.923080825,1355.693221129,95.648368835,1.860667142
Iceland,ISL,Europe & Central Asia,High income,1997,8584.100498657,271128,7.763336874,54.881956315,26784.237505687,18957.835413532,100,0.249276806
Israel,ISR,Middle East & North Africa,High income,1997,2881.128341330,5836000,9.575293523,5.697907803,21432.621195467,5488.519533927,100,6.779112613
Italy,ITA,Europe & Central Asia,High income,1997,2834.402946073,56890372,7.566965198,4.831419767,23808.015302054,4791.285245946,100,27.660738515
Jamaica,JAM,Latin America & Caribbean,Upper middle income,1997,1304.485379192,2586827,3.916736991,10.293312708,6180.549214696,2156.696215093,82.042793274,31.579871631
Jordan,JOR,Middle East & North Africa,Upper middle income,1997,933.048608448,4832267,2.983826018,2.139881015,5196.468118878,1163.842974736,98.9,1.104941070
Japan,JPN,East Asia & Pacific,High income,1997,4041.167670181,126057000,9.525758078,4.072127493,25134.878716299,7991.004069588,100,68.307816787
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,1997,2575.670599594,15333703,8.442824802,1.671015281,6593.646279577,3173.793049207,98.794082642,1.252768862
Kenya,KEN,Sub-Saharan Africa,Lower middle income,1997,440.525239349,28954114,0.285466100,79.537969154,1645.059636142,127.408491933,12.283764839,6.864919172
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,1997,552.179754706,4696400,1.194640576,28.749457863,1464.048390109,1802.870283621,99.8,4.440719398
Cambodia,KHM,East Asia & Pacific,Lower middle income,1997,266.905367267,11295880,0.136345287,82.196255996,861.352485806,24.256631621,9.298048019,67.784955759
Kiribati,KIR,East Asia & Pacific,Lower middle income,1997,,80184,0.320126210,4.213861771,1418.398675983,,46.250453949,14.999999529
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,1997,,43846,3.261711445,34.233567258,14717.858499736,,91.535820007,42.307692308
"Korea, Rep.",KOR,East Asia & Pacific,High income,1997,3726.157766163,45953580,9.357981620,0.676453174,15399.226589161,4651.628882886,100,65.442671549
Kuwait,KWT,Middle East & North Africa,High income,1997,8566.779610031,1715314,32.017845712,0,59221.578480314,13865.682901206,100,0.248597072
Lao PDR,LAO,East Asia & Pacific,Lower middle income,1997,,5056519,0.120383608,85.916456338,1675.559239499,,34.951656342,73.057453017
Lebanon,LBN,Middle East & North Africa,Upper middle income,1997,1697.791228938,3092670,5.059411124,4.701475792,9532.254987293,2507.542026792,99.055206299,12.805474096
Liberia,LBR,Sub-Saharan Africa,Low income,1997,,2358469,0.147708111,87.652454168,,,0.010000000,48.992940199
Libya,LBY,Middle East & North Africa,Upper middle income,1997,2951.234926286,5117269,8.789015195,2.122498808,,1803.110213671,99.806259155,0.123327688
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,1997,,151086,2.038759382,3.000783987,7655.208491352,,87.822700500,35.049178952
Liechtenstein,LIE,Europe & Central Asia,High income,1997,,31838,,,,,100,42.375001311
Sri Lanka,LKA,South Asia,Lower middle income,1997,376.928915939,18476505,0.412218599,65.901275629,3675.037128396,229.751243539,64.740608215,35.394675453
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,1997,,1810453,0.978297144,50.600045046,1309.969630308,,0.061689552,1.363636414
Lithuania,LTU,Europe & Central Asia,High income,1997,2490.347642622,3575137,4.290482015,11.619513706,7069.959387639,2727.727636731,100,31.868219528
Luxembourg,LUX,Europe & Central Asia,High income,1997,7409.850995351,419450,18.927297652,4.386336023,42826.400001629,15134.104184051,100,
Latvia,LVA,Europe & Central Asia,High income,1997,1821.351985798,2432851,3.475799381,32.891421123,6484.570662595,2056.435022120,100,51.781465803
"Macao SAR, China",MAC,East Asia & Pacific,High income,1997,,401564,3.707508641,0.190800197,34488.617794287,,100,
St. Martin (French part),MAF,Latin America & Caribbean,High income,1997,,31304,,,,,50.373035431,18.382352941
Morocco,MAR,Middle East & North Africa,Lower middle income,1997,363.550923293,27825901,1.145068510,17.521615299,3181.023225934,450.012382348,63.479541779,11.161326024
Monaco,MCO,Europe & Central Asia,High income,1997,,31251,,,,,100,
Moldova,MDA,Europe & Central Asia,Lower middle income,1997,1059.243206736,3654208,1.942777204,3.852072630,1893.041787414,1863.057603727,97.294052124,9.796476306
Madagascar,MDG,Sub-Saharan Africa,Low income,1997,,14347854,0.115010231,77.257744893,1051.534938894,,10.9,22.739106846
Maldives,MDV,South Asia,Upper middle income,1997,,264275,1.248812790,2.723045951,6602.775104471,,81.918571472,3.333333333
Mexico,MEX,Latin America & Caribbean,Upper middle income,1997,1456.876382524,97281739,3.801014279,12.699777386,9357.263049426,1486.229599576,96.329505920,35.200083914
Marshall Islands,MHL,East Asia & Pacific,Upper middle income,1997,,51692,1.276909386,19.691499836,2195.863708438,,63.718673706,70.222224130
North Macedonia,MKD,Europe & Central Asia,Upper middle income,1997,1343.626897193,1999599,5.318216302,15.901210001,5219.020710562,2995.100517654,96.628211975,37.129375234
Mali,MLI,Sub-Saharan Africa,Low income,1997,,10114094,0.051846562,87.728773278,1054.169885549,,5.666636944,5.029544579
Malta,MLT,Middle East & North Africa,High income,1997,2047.422745049,382791,6.581212724,0,15130.211442885,3827.15372096,100,1.093749981
Myanmar,MMR,East Asia & Pacific,Lower middle income,1997,272.245364567,44371525,0.169005122,85.162425017,767.109339943,65.424841720,41.722202301,55.349328274
Montenegro,MNE,Europe & Central Asia,Upper middle income,1997,,609520,,,,,99.273376465,46.542750929
Mongolia,MNG,East Asia & Pacific,Lower middle income,1997,951.851162074,2335695,3.300102967,3.394397715,3349.007217988,1057.929224492,72.111236572,7.700185506
Northern Mariana Islands,MNP,East Asia & Pacific,High income,1997,,62528,,0,,,100,70.565215401
Mozambique,MOZ,Sub-Saharan Africa,Low income,1997,394.697949884,16701351,0.067405864,92.644442567,374.101460166,53.468728368,6.6,53.212187492
Mauritania,MRT,Sub-Saharan Africa,Lower middle income,1997,,2471598,0.452514932,43.807223408,2065.973626052,,14.374049187,0.336082268
Mauritius,MUS,Sub-Saharan Africa,Upper middle income,1997,712.571976967,1148284,1.740436164,36.441064970,7285.795332462,1108.610761798,99.432670593,20.522167413
Malawi,MWI,Sub-Saharan Africa,Low income,1997,,10381862,0.092894801,81.230507672,658.914819415,,4.011767387,38.880992270
Malaysia,MYS,East Asia & Pacific,Upper middle income,1997,2064.468539194,21565325,5.788042285,6.705587222,12370.831642861,2471.606618495,96.239234924,66.432810835
Namibia,NAM,Sub-Saharan Africa,Upper middle income,1997,586.320931169,1758994,1.021510022,32.655733107,4558.558024203,956.228389636,32.702342987,10.021984963
New Caledonia,NCL,East Asia & Pacific,High income,1997,,201418,9.084754093,7.583674984,,,100,45.897155361
Niger,NER,Sub-Saharan Africa,Low income,1997,,10180061,0.089333060,,586.141851687,,6.359755516,1.194521178
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,1997,699.650699831,113522705,0.372860927,85.551289174,2304.128846492,81.957173237,39.814514160,15.773575776
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,1997,503.044724483,4786640,0.656539660,62.733748621,2363.708458497,352.857118981,71.178199768,33.438590660
Netherlands,NLD,Europe & Central Asia,High income,1997,4835.741945403,15610650,11.422429047,1.507533301,25714.522468604,6066.243237790,100,10.530213270
Norway,NOR,Europe & Central Asia,High income,1997,5475.188739017,4405157,8.195307227,58.838878689,28592.094987847,24326.034236691,100,33.179739335
Nepal,NPL,South Asia,Low income,1997,316.899304563,22389803,0.124308954,90.708660459,1079.243004569,46.896348306,15.617564201,29.196504179
Nauru,NRU,East Asia & Pacific,Upper middle income,1997,,10057,10.209406384,0,,,100,0
New Zealand,NZL,East Asia & Pacific,High income,1997,4258.756776770,3781300,8.204273662,27.650162702,19133.679775812,9090.524422818,100,37.957921064
Oman,OMN,Middle East & North Africa,High income,1997,2998.061137724,2249773,6.883245999,0,30974.424408871,2784.725392295,,0.006462036
Pakistan,PAK,South Asia,Lower middle income,1997,448.086041392,129086987,0.733701190,51.936724453,2555.197131745,362.995535716,70.813476563,2.904862039
Panama,PAN,Latin America & Caribbean,High income,1997,777.414809907,2853941,1.978730464,37.039810963,7435.179958769,1173.465043601,78.442382813,66.167606973
Peru,PER,Latin America & Caribbean,Upper middle income,1997,440.558026884,24827406,1.106713726,31.739888482,4982.705615699,606.748848430,69.16024,59.905627441
Philippines,PHL,East Asia & Pacific,Lower middle income,1997,500.837832036,73064764,0.973904945,33.799911233,3181.792568489,462.055827622,70.206489563,23.092195400
Palau,PLW,East Asia & Pacific,High income,1997,,18123,13.152071953,0,,,98.280273438,85.130434451
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,1997,,5154910,0.500086519,68.945890285,2344.344131903,,10.231794357,74.213005261
Poland,POL,Europe & Central Asia,High income,1997,2643.123535886,38649660,9.043385427,5.982369508,8918.127669933,3206.237778030,100,29.402199254
Puerto Rico,PRI,Latin America & Caribbean,High income,1997,,3759430,,0.464883808,20661.459504371,,,45.226606952
"Korea, Dem. People’s Rep.",PRK,East Asia & Pacific,Low income,1997,824.462681567,22335638,,9.641619885,,736.983649180,6.504834175,60.737479465
Portugal,PRT,Europe & Central Asia,High income,1997,2083.487676349,10108977,5.250035785,24.545323318,15783.787612615,3352.465833091,100,36.840436091
Paraguay,PRY,Latin America & Caribbean,Upper middle income,1997,877.045240248,4980344,0.842320932,69.520889454,6683.340034348,833.878141751,86.412854,50.099922524
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,1997,,2706518,0.146326756,17.179180863,2560.638257495,,97.9,1.508305635
French Polynesia,PYF,East Asia & Pacific,High income,1997,,223731,2.015996889,8.264821671,,,100,24.590163934
Qatar,QAT,Middle East & North Africa,High income,1997,19031.754107683,534608,70.135641442,0,,12078.008559543,100,0
Romania,ROU,Europe & Central Asia,Upper middle income,1997,1989.994181958,22553978,4.993556835,15.745622154,5604.741278374,2250.999801454,100,27.741471703
Russian Federation,RUS,Europe & Central Asia,Upper middle income,1997,4069.688778052,147915307,10.316789249,3.745987177,5697.327821784,4935.621706819,100,49.404129003
Rwanda,RWA,Sub-Saharan Africa,Low income,1997,,6522382,0.076461636,91.124195813,599.920287059,,2.141790152,13.627888618
Saudi Arabia,SAU,Middle East & North Africa,High income,1997,4422.536509560,19505576,11.086026016,0.009032332,33102.902427937,5102.182063221,,0.454484135
Sudan,SDN,Sub-Saharan Africa,Lower middle income,1997,392.294923579,25410451,0.169602368,80.540213269,1641.570769948,42.527125124,30.082798004,
Senegal,SEN,Sub-Saharan Africa,Low income,1997,220.204516313,9196528,0.354876319,50.672000836,1673.591301894,116.674466712,32.2,46.917363528
Singapore,SGP,East Asia & Pacific,High income,1997,5818.349026011,3796038,15.392358559,0.431425659,36674.573737727,6829.225629459,100,24.402985644
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,1997,,379947,0.376402498,62.872207261,1715.529043086,,0.823471665,81.629155014
Sierra Leone,SLE,Sub-Saharan Africa,Low income,1997,,4305455,0.103056936,90.460188702,686.663350014,,10.046188354,41.296758781
El Salvador,SLV,Latin America & Caribbean,Lower middle income,1997,620.233581918,5727755,0.955842385,53.062362763,4125.700209427,557.635583226,79.825424194,16.674710425
San Marino,SMR,Europe & Central Asia,High income,1997,,26508,,,49348.941184538,,100,0
Somalia,SOM,Sub-Saharan Africa,Low income,1997,,8137475,0.066242784,91.726184517,,,0.950777709,12.345936968
Serbia,SRB,Europe & Central Asia,Upper middle income,1997,2299.904258553,7596501,,16.299053151,5566.194140718,4291.317805395,99.816543579,28.310084610
South Sudan,SSD,Sub-Saharan Africa,Low income,1997,,5814006,,,,,0.010000000,
Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,1997,,131107,0.363603774,56.082340513,,,49.184913635,58.333333333
Suriname,SUR,Latin America & Caribbean,Upper middle income,1997,,455954,4.624424832,,7422.846474162,,99.305435181,98.735257662
Slovak Republic,SVK,Europe & Central Asia,High income,1997,3361.884022246,5383291,7.625149374,3.853383866,10063.735575083,5068.089389929,100,39.943867959
Slovenia,SVN,Europe & Central Asia,High income,1997,3310.400633247,1985956,7.985964946,10.232702607,15263.896671617,5434.662197954,100,60.551142006
Sweden,SWE,Europe & Central Asia,High income,1997,5672.008177198,8846062,5.895098520,35.620610998,24452.644277203,15410.699133694,100,68.560218356
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,1997,,1003995,1.197990030,47.927695920,4336.863477142,,14.093370438,29.313954198
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income,1997,,,,,,,100,
Seychelles,SYC,Sub-Saharan Africa,High income,1997,,77319,4.410701121,1.373968771,13042.457071784,,92,88.413039498
Syrian Arab Republic,SYR,Middle East & North Africa,Low income,1997,913.804131602,15177456,2.698765195,1.690534027,,914.053053423,86.343544006,2.252693438
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income,1997,,16528,3.327988867,0.848251851,,,92.024581909,36.210527922
Chad,TCD,Sub-Saharan Africa,Low income,1997,,7493251,0.019085574,97.923782113,793.046279171,,2.3,5.114120231
Togo,TGO,Sub-Saharan Africa,Low income,1997,381.699312677,4534551,0.217534878,79.561058204,1019.854814281,104.530746264,12.252476692,10.033094543
Thailand,THA,East Asia & Pacific,Upper middle income,1997,1158.850329785,60863506,3.054653145,21.248842659,7114.060247982,1409.728187528,83.955551147,31.531641244
Tajikistan,TJK,Europe & Central Asia,Low income,1997,360.786696689,5934282,0.362727791,56.824286081,792.493124624,2047.76247573,98.006057739,2.925121420
Turkmenistan,TKM,Europe & Central Asia,Upper middle income,1997,2750.017795171,4355114,7.031530518,0.002127215,3173.363084835,1171.496314448,99.443099976,8.782159045
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,1997,,871994,,,,,11.458783150,59.690650678
Tonga,TON,East Asia & Pacific,Upper middle income,1997,,96725,1.023613337,1.263760166,3194.507995081,,83.281295776,12.5
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,1997,5437.908807800,1260678,14.590301409,0.939534801,11145.823276452,3638.518321094,89.016822815,45.951266224
Tunisia,TUN,Middle East & North Africa,Lower middle income,1997,666.831909799,9384152,1.805725973,14.437623682,5080.017029072,811.261369168,92,5.012873248
Turkey,TUR,Europe & Central Asia,Upper middle income,1997,1166.228815541,60372499,3.288501392,20.841287635,8621.996821521,1439.976834486,93.110961914,13.012356841
Tuvalu,TUV,East Asia & Pacific,Upper middle income,1997,,9277,0.790557292,0,2072.589274423,,93.370864868,33.333333333
